customer_id,vendor_count,is_chain,product_data_labels
0078c75d48,1,2,1
10a1146b51,2,2,1
1ce954e22d,4,3,0
4719454a4a,1,3,1
845476410f,2,2,1
9237d23413,3,2,1
b8697c776f,2,3,1
032b9aa603,2,1,1
085c69caf5,5,6,0
0e2202b4ff,2,0,1
2e32718c5e,1,3,1
32e9ffa451,3,0,1
44b3afa9a7,1,0,1
5c07a72fb9,2,0,1
68c32e3e8e,2,0,1
7518d551b4,2,3,1
8c6ffd7357,3,1,1
8e1d412bc8,3,3,0
9af3f36e20,4,2,0
9c5d8d6747,5,23,3
d5040766f5,3,3,0
f3d2bc9337,1,0,1
74abf9544b,2,1,1
a456d25178,3,1,1
ae4b9bb2c7,2,2,1
c4656e109e,2,2,1
e679133854,4,2,0
f5defd808d,2,1,1
f6589e8a37,2,1,1
60ead82728,3,1,1
7f00a90c52,2,5,1
80365766b2,1,0,1
addfb5042c,1,3,1
ae97969141,3,3,0
c9985efbcc,4,0,0
1f7d3f69a7,2,1,1
62ff07fea6,4,5,0
9f073587cd,2,4,1
a4d5c3fd0f,4,4,0
b9735ec4f2,5,1,0
ea192fe2de,2,0,1
02bbda062b,2,0,1
361b3c6e49,3,1,1
5e2daae632,2,0,1
6ef7fb6373,3,0,1
75b2c2b40c,3,5,0
d490269fd4,2,0,1
fd399c247b,4,3,0
6648d8d064,2,1,1
713d64ed06,3,3,0
9d9de87f12,4,3,0
c7ec8d73d7,3,2,1
984bdb29c3,2,3,1
f6fa34ff77,3,1,1
021b015866,4,4,0
0ed8316685,2,1,1
4fd3cb3c22,4,1,0
5493ba802f,5,2,0
781d87fe87,3,3,0
7c92e7073d,2,1,1
7db2d72273,2,2,1
998b934f1c,4,3,0
afd06dad50,2,2,1
e59d5dd2fb,2,2,1
e841fc0764,5,6,0
ef12a56abc,2,1,1
f25983cd7b,4,4,0
ffa81f02b2,5,5,0
18cc1d2875,6,6,0
670233f2cf,2,1,1
67c6c9f9c4,1,0,1
7c01402da5,2,2,1
9f2af8244f,3,3,0
4467d47be9,2,3,1
a5347d72ea,3,3,0
d6c7fff6f1,4,4,0
09507141ca,4,4,0
7b513243ac,7,8,3
162dd1129c,2,2,1
28df4d3610,3,0,1
6e11ecdd1d,2,1,1
6f384a0b60,3,3,0
90ba52f308,1,0,1
bff1791009,3,3,0
ca516232d6,1,0,1
e7d4191c8e,6,5,0
f410d3fd90,4,4,0
41944877f7,2,0,1
6bd7d01e25,2,3,1
d1a756fdb7,2,2,1
dfbb719f59,4,7,0
ef760c3a3c,1,0,1
0c92641c50,3,2,1
12ba768c1b,3,5,0
1b84efb601,3,1,1
508e4b40d5,11,11,3
6b716a79d8,5,4,0
83344d0d62,3,1,1
ae25fa3446,7,7,3
